"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-3.417842560E0,8.957971802E0,3.210523682E0
1.003999996E-2,-3.192860413E0,8.890013123E0,3.073259125E0
2.008000005E-2,-2.993175659E0,8.973240051E0,3.034938812E0
3.015100001E-2,-2.815944214E0,8.771160278E0,3.112627258E0
4.019199999E-2,-2.929707642E0,8.946445770E0,3.321443024E0
5.026199995E-2,-2.978805542E0,9.196725311E0,3.683240662E0
6.030300003E-2,-3.154240723E0,9.069789276E0,4.007167053E0
7.037300000E-2,-3.143313446E0,8.673413544E0,4.442162476E0
8.044399996E-2,-2.874023438E0,8.146808624E0,4.905598755E0
9.048400004E-2,-2.396366730E0,7.673792267E0,5.436394958E0
1.005550000E-1,-1.551972656E0,7.002737732E0,6.170019379E0
1.106260000E-1,-1.761087799E0,6.638545074E0,6.661597137E0
1.206659999E-1,-1.569037170E0,6.668931885E0,6.530320129E0
1.307370000E-1,-1.112336884E0,6.721622314E0,6.264922028E0
1.408080000E-1,-1.382824402E0,6.597380676E0,6.377637634E0
1.508480000E-1,-1.733844452E0,6.267766113E0,6.763385468E0
1.609190000E-1,-1.442699890E0,5.820346527E0,7.079977112E0
1.709590000E-1,-3.728746033E-1,5.718558197E0,6.890620880E0
1.810300000E-1,3.857478333E-1,6.379733276E0,6.722520447E0
1.911009999E-1,3.061134338E-1,6.406976624E0,6.184090118E0
2.011410000E-1,-6.758445740E-1,6.035748596E0,5.867049408E0
2.112120000E-1,-2.042203217E0,4.645739136E0,6.313870239E0
2.212830000E-1,-2.356549530E0,4.018094330E0,7.279063110E0
2.313230000E-1,-3.220103760E0,4.038751373E0,6.149062958E0
2.413940000E-1,-3.528911591E0,4.236789551E0,6.796616364E0
2.514650000E-1,-2.180066528E0,5.364244995E0,9.163045349E0
2.615049999E-1,-1.361718292E0,5.397775269E0,8.795858917E0
2.715760000E-1,-7.153623962E-1,4.899311829E0,8.504115601E0
2.816160000E-1,-4.816983032E-1,4.712200928E0,9.149723053E0
2.916870000E-1,-9.794132996E-1,4.861290894E0,9.668544159E0
3.017580000E-1,-1.433119812E0,4.943320312E0,9.554930420E0
3.117980000E-1,-1.540446625E0,4.932243347E0,8.718769226E0
3.218690000E-1,-1.469344482E0,4.930297394E0,7.915090485E0
3.319399999E-1,-1.587748260E0,4.692292328E0,7.734266510E0
3.419800000E-1,-1.988764343E0,3.772305450E0,7.949069824E0
3.520510000E-1,-2.088906097E0,3.254532166E0,7.965535583E0
3.621210000E-1,-2.485581207E0,3.991898804E0,7.603887634E0
3.721620000E-1,-2.924169159E0,4.680766296E0,7.425009613E0
3.822330000E-1,-3.032992859E0,4.949307861E0,7.213200073E0
3.922730000E-1,-3.334166565E0,5.141208801E0,7.528145142E0
4.023439999E-1,-3.534150696E0,5.262157288E0,8.218359833E0
4.124140000E-1,-2.822530518E0,5.067861328E0,8.121660919E0
4.224550000E-1,-2.086660767E0,5.148992615E0,7.401807861E0
4.325260000E-1,-2.067799988E0,5.149741058E0,7.722590790E0
4.425960000E-1,-2.197729797E0,4.614903259E0,8.553961945E0
4.526370000E-1,-1.721869354E0,4.203708344E0,8.406518555E0
4.627070000E-1,-8.551716614E-1,3.259172516E0,9.456884308E0
