"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.488340000E-1,-4.331756592E0,-2.234670639E0,1.690256596E-1
1.589050000E-1,-4.469125271E0,-1.390159488E0,1.461000293E-1
1.689760000E-1,-4.443155289E0,-8.955806494E-1,2.579903603E-1
1.790160000E-1,-4.212417603E0,-7.515596151E-1,4.983205795E-1
1.890870000E-1,-3.795881271E0,-6.128088832E-1,7.757210135E-1
1.991269999E-1,-3.244513273E0,-2.304314077E-1,9.122397900E-1
2.091980000E-1,-2.541879416E0,3.114622235E-1,9.137519598E-1
2.192690000E-1,-1.825084686E0,1.123016998E-1,1.016296625E0
2.293090000E-1,-9.352495670E-1,2.604717016E-1,9.780461192E-1
2.393800000E-1,-1.712749302E-1,2.477317005E-1,6.259002090E-1
2.494510000E-1,3.815578669E-2,-1.975898445E-1,4.453736246E-1
2.594910000E-1,7.748419791E-2,-2.217676193E-1,3.393602967E-1
2.695619999E-1,3.712505847E-2,1.666858494E-1,2.059170008E-1
2.796320000E-1,-5.837704614E-2,5.326886177E-1,4.257640615E-2
2.896730000E-1,-1.698534936E-1,7.054616809E-1,-1.211278290E-1
2.997440000E-1,-2.489467859E-1,7.829332948E-1,-2.744946480E-1
3.097840000E-1,-1.792976856E-1,8.876831532E-1,-3.936476707E-1
3.198550000E-1,2.483015880E-2,1.068055034E0,-4.490781724E-1
3.299250000E-1,2.418194711E-1,1.199926853E0,-4.871957302E-1
3.399659999E-1,3.492230475E-1,1.430555224E0,-4.487374127E-1
3.500370000E-1,4.654276669E-1,1.327363133E0,-1.977813542E-1
3.601070000E-1,6.040239334E-1,1.038229704E0,1.625922024E-1
3.701480000E-1,7.160524726E-1,8.826763630E-1,4.321440458E-1
3.802180000E-1,7.959446311E-1,9.348988533E-1,4.804620445E-1
3.902890000E-1,8.091675043E-1,1.047642112E0,2.674522996E-1
4.003290000E-1,6.884042025E-1,9.712536931E-1,-1.910665333E-1
4.104000001E-1,5.092509389E-1,6.889111996E-1,-7.951670885E-1
4.204410000E-1,4.266992211E-1,4.477025270E-1,-1.330191374E0
4.305110000E-1,2.650882304E-1,7.203808427E-2,-1.690140247E0
4.405820000E-1,7.423818111E-2,-5.169516206E-1,-1.833180308E0
4.506220000E-1,1.033296902E-2,-9.652522206E-1,-1.622070551E0
4.606930000E-1,1.039595343E-2,-1.546478748E0,-1.232707739E0
4.707640000E-1,7.711000741E-2,-2.321850538E0,-7.504106164E-1
4.808040000E-1,3.563343883E-1,-2.500570536E0,-3.062131405E-1
4.908750000E-1,5.478497148E-1,-2.329451323E0,-1.459890902E-1
5.009150000E-1,4.718195796E-1,-2.156221867E0,-1.441729963E-1
5.109860000E-1,3.436850309E-1,-1.891475320E0,-1.244120747E-1
5.210570000E-1,1.841039658E-1,-1.186989665E0,-9.800599888E-3
5.310970000E-1,7.935544848E-2,-4.980939031E-1,2.044914514E-1
5.411680000E-1,3.306078538E-2,-4.531563520E-1,3.952791691E-1
5.512390001E-1,-9.727990627E-2,-5.578055382E-1,4.595265985E-1
5.612790000E-1,-8.605448157E-2,-5.753703713E-1,4.641435742E-1
5.713500000E-1,-1.647886448E-2,-4.499067366E-1,4.652591646E-1
5.814210000E-1,2.934864722E-3,-2.347290814E-1,4.623123407E-1
5.914610000E-1,-1.743299142E-2,1.450805664E-1,4.431264102E-1
6.015320000E-1,-9.209346771E-2,5.704920292E-1,4.930882454E-1
6.115720000E-1,-2.439956516E-1,8.393373489E-1,6.287254691E-1
6.216430000E-1,-3.859483302E-1,8.690879941E-1,8.048570752E-1
6.317140000E-1,-4.825009406E-1,6.729054451E-1,9.304046035E-1
6.417540000E-1,-5.070396066E-1,2.945981920E-1,9.450260997E-1
6.518249999E-1,-4.238067567E-1,-1.708126217E-1,8.144115806E-1
6.618960000E-1,-2.328615040E-1,-4.812948704E-1,5.376304984E-1
6.719360000E-1,3.076773882E-2,-5.661751032E-1,2.048533559E-1
6.820070000E-1,2.887289822E-1,-4.408828914E-1,-1.057012528E-1
6.920780001E-1,3.883679509E-1,-3.281036019E-1,-2.664920092E-1
7.021180000E-1,3.209211528E-1,-2.178649008E-1,-2.170221061E-1
7.121890000E-1,1.654183716E-1,-1.675569862E-1,-6.211214885E-2
7.222289999E-1,1.836030185E-2,-1.894006580E-1,5.719555542E-2
7.323000000E-1,-7.004756480E-4,-2.666917145E-1,1.008990929E-1
7.423700000E-1,8.178158849E-2,-3.446750641E-1,8.641195297E-2
7.524110000E-1,1.112835556E-1,-4.146568179E-1,5.172268301E-2
7.624820000E-1,1.172910184E-1,-4.197498858E-1,-1.302020624E-3
7.725520000E-1,7.997667789E-2,-3.962858319E-1,-3.225754201E-2
7.825930000E-1,5.739723891E-2,-4.546065032E-1,6.771224737E-2
7.926629999E-1,1.283989698E-1,-4.840128720E-1,1.583449394E-1
8.027340000E-1,3.262719214E-1,-5.178372264E-1,1.913489997E-1
8.127750000E-1,4.471533298E-1,-7.319314480E-1,1.440251619E-1
8.228450000E-1,4.785739779E-1,-9.873769283E-1,7.745874673E-2
8.328860000E-1,4.526033401E-1,-1.215796471E0,8.700191975E-3
8.429560000E-1,3.977704644E-1,-1.427844644E0,-4.513534158E-2
8.530270000E-1,3.261700571E-1,-1.530831456E0,-3.690643981E-2
