"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.488340000E-1,7.516440770E-1,-1.691348058E0,1.588311932E0
1.589050000E-1,7.732068542E-1,-1.907725443E0,1.633192236E0
1.689760000E-1,1.685408164E0,-1.902516158E0,1.095928427E0
1.790160000E-1,2.494778877E0,-1.031911941E0,6.625187695E-1
1.890870000E-1,2.499203466E0,-6.806685269E-1,-1.728448641E-1
1.991269999E-1,1.630591102E0,-7.085527289E-1,-7.410796201E-1
2.091980000E-1,1.416884141E-1,-1.807360325E0,-7.459269619E-1
2.192690000E-1,-3.960050189E-1,-2.624547304E0,2.750892770E-1
2.293090000E-1,-1.098863875E0,-2.517371349E0,-5.836421692E-1
2.393800000E-1,-1.803163340E0,-2.510758148E0,-6.783483517E-1
2.494510000E-1,-6.372794093E-1,-1.423463135E0,1.854685349E0
2.594910000E-1,2.923186827E-1,-1.132410375E0,1.960778400E0
2.695619999E-1,9.282318901E-1,-1.637146708E0,1.433633198E0
2.796320000E-1,1.351643393E0,-1.900446829E0,1.994230320E0
2.896730000E-1,1.004234291E0,-1.779369704E0,2.591764889E0
2.997440000E-1,5.670199969E-1,-1.637281194E0,2.629305768E0
3.097840000E-1,4.814566670E-1,-1.633180541E0,1.915794600E0
3.198550000E-1,6.540718818E-1,-1.609490547E0,1.038425739E0
3.299250000E-1,7.044482759E-1,-1.794248528E0,8.052352703E-1
3.399659999E-1,4.609555981E-1,-2.564178311E0,9.891319567E-1
3.500370000E-1,3.975744116E-1,-3.370451462E0,1.212401454E0
3.601070000E-1,1.664094186E-1,-2.836732820E0,8.967886341E-1
3.701480000E-1,-2.973864645E-1,-2.119781735E0,7.832088089E-1
3.802180000E-1,-4.165141279E-1,-1.860164191E0,6.318980706E-1
3.902890000E-1,-5.958306903E-1,-1.728480216E0,8.771665478E-1
4.003290000E-1,-8.273184496E-1,-1.606062909E0,1.668447438E0
4.104000001E-1,-1.950531739E-1,-1.769835234E0,1.822107003E0
4.204410000E-1,7.810535252E-1,-1.767272399E0,1.177623385E0
4.305110000E-1,1.030827867E0,-1.631878366E0,1.195792438E0
