"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.961291962E0,4.330195312E0,8.282725983E0
1.006100001E-2,-3.074606323E0,4.372557220E0,8.049361267E0
2.012300002E-2,-3.114722900E0,4.412973175E0,7.741152191E0
3.018400000E-2,-3.141367493E0,4.535568237E0,7.543413391E0
4.024600002E-2,-3.245101776E0,4.540358276E0,7.436535645E0
5.030700000E-2,-3.233875122E0,4.538711700E0,7.438631287E0
6.036800001E-2,-3.260968781E0,4.447700958E0,7.566315765E0
7.043000002E-2,-3.251538391E0,4.414919128E0,7.618108063E0
8.049200001E-2,-3.234922943E0,4.392316132E0,7.572303314E0
9.055300002E-2,-3.229384460E0,4.375850372E0,7.547155609E0
1.006140000E-1,-3.189866638E0,4.351600800E0,7.624245300E0
1.106760000E-1,-3.123105469E0,4.349205780E0,7.772586823E0
1.207370000E-1,-3.086282043E0,4.350552979E0,8.019423523E0
1.307990000E-1,-3.023113403E0,4.328099670E0,8.314160614E0
1.408600000E-1,-2.923420715E0,4.292324066E0,8.468040619E0
1.509220000E-1,-2.841990051E0,4.323159943E0,8.498726807E0
1.609830000E-1,-2.824177094E0,4.350103912E0,8.630452881E0
1.710450000E-1,-2.808759155E0,4.316274261E0,8.691525879E0
1.811060000E-1,-2.769540710E0,4.278103638E0,8.615184631E0
1.911680000E-1,-2.781216431E0,4.279600525E0,8.517737274E0
2.012290000E-1,-2.787653046E0,4.261188812E0,8.422235870E0
2.112910000E-1,-2.819087677E0,4.228706360E0,8.385262756E0
2.213520000E-1,-2.850073242E0,4.231101379E0,8.318052521E0
2.314140000E-1,-2.875520325E0,4.235741730E0,8.325536957E0
2.414750000E-1,-2.887046356E0,4.198169861E0,8.399932251E0
2.515370000E-1,-2.885250092E0,4.182751923E0,8.485554199E0
2.615980000E-1,-2.877765656E0,4.159699860E0,8.512348480E0
2.716641250E-1,-2.864742737E0,4.149371338E0,8.492439880E0
2.817251250E-1,-2.846181335E0,4.163891144E0,8.469687195E0
2.917871250E-1,-2.815644836E0,4.168082428E0,8.474177856E0
3.018481250E-1,-2.796784058E0,4.146976318E0,8.496930542E0
3.119101250E-1,-2.748135223E0,4.103865967E0,8.531508636E0
3.219711250E-1,-2.722089386E0,4.094734955E0,8.459957428E0
3.320331250E-1,-2.738704834E0,4.056264954E0,8.364905090E0
3.420941250E-1,-2.728825378E0,4.113745422E0,8.310119019E0
3.521561250E-1,-2.706671448E0,4.111051025E0,8.222551117E0
3.622171250E-1,-2.671644287E0,4.115242310E0,8.144263916E0
3.722791250E-1,-2.650388489E0,4.151766357E0,8.171058197E0
3.823401250E-1,-2.648891602E0,4.159999237E0,8.228688354E0
3.924021250E-1,-2.617456970E0,4.167633362E0,8.279881897E0
4.024631250E-1,-2.582729187E0,4.177363129E0,8.334518280E0
4.125251250E-1,-2.534529419E0,4.170178070E0,8.322243805E0
4.225861250E-1,-2.534978485E0,4.121080170E0,8.151448975E0
4.326481250E-1,-2.540516968E0,4.084107056E0,7.992479553E0
4.427091250E-1,-2.359094238E0,4.384831696E0,8.215515747E0
4.527711250E-1,-2.507286072E0,4.155209198E0,7.854017487E0
4.628321250E-1,-2.438279572E0,4.103716278E0,7.931556244E0
4.728941250E-1,-2.439327393E0,4.157155151E0,8.017926636E0
4.829551250E-1,-2.520458679E0,4.049229584E0,8.060288544E0
4.930171250E-1,-2.627486115E0,4.020788727E0,8.294850769E0
5.030781250E-1,-2.764451294E0,4.027225342E0,8.475674744E0
5.131401250E-1,-2.937641144E0,4.058510284E0,8.534352722E0
5.232011250E-1,-3.013233948E0,4.122127991E0,8.441396027E0
5.332631250E-1,-3.170856171E0,4.063150635E0,8.309819641E0
5.433241250E-1,-3.245251465E0,3.963457947E0,8.120613098E0
5.533851250E-1,-3.247047729E0,4.222419434E0,8.361761627E0
5.634471250E-1,-3.124153290E0,4.252656555E0,8.275391235E0
5.735081250E-1,-3.236120453E0,3.891906738E0,8.003706207E0
5.835701250E-1,-3.162024536E0,4.119134216E0,8.079149323E0
5.936311250E-1,-3.154240723E0,4.277953949E0,8.200995941E0
6.036931250E-1,-3.209625549E0,4.173321533E0,8.186925201E0
6.137541250E-1,-3.289409637E0,4.053271179E0,8.167166290E0
6.238161250E-1,-3.260819092E0,4.012855225E0,8.045768738E0
6.338771250E-1,-3.211122437E0,3.984264679E0,8.035889282E0
6.439391250E-1,-3.646417236E0,3.210523682E0,8.253836060E0
6.540001250E-1,-3.553909607E0,3.122656403E0,7.901917877E0
6.640621250E-1,-3.276386719E0,3.424279175E0,7.959847412E0
6.741231250E-1,-3.536096649E0,3.955075378E0,8.229137421E0
