"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.030000000E-3,2.487796247E-1,-1.485172361E-1,-1.415485889E-1
1.509200002E-2,1.901621222E-1,-1.960035264E-1,-1.488307267E-1
2.515300002E-2,1.386071146E-1,-2.117958516E-1,-1.566860527E-1
3.521500001E-2,9.803359210E-2,-2.031027526E-1,-1.460043788E-1
4.527600002E-2,5.702887103E-2,-1.821423918E-1,-1.385736316E-1
5.533800001E-2,2.946941182E-2,-1.734586358E-1,-1.328662187E-1
6.539900001E-2,-8.722958155E-3,-1.965883970E-1,-1.326907277E-1
7.546100000E-2,-5.842819437E-2,-2.319053710E-1,-1.328401268E-1
8.552200001E-2,-1.314477623E-1,-2.720630169E-1,-1.262259185E-1
9.558400002E-2,-2.074458450E-1,-3.133558631E-1,-1.192742810E-1
1.056450000E-1,-2.509803772E-1,-3.419316411E-1,-1.176222265E-1
1.157070000E-1,-2.607429922E-1,-3.463908434E-1,-1.111406237E-1
1.257680000E-1,-2.344378084E-1,-3.341277838E-1,-1.034148782E-1
1.358300000E-1,-1.968712509E-1,-3.072732687E-1,-9.893544018E-2
1.458910000E-1,-1.687313765E-1,-2.750136852E-1,-9.651766717E-2
1.559530000E-1,-1.506639570E-1,-2.508113980E-1,-9.521005303E-2
1.660140000E-1,-1.331984103E-1,-2.364885360E-1,-8.727839589E-2
1.760760000E-1,-1.222267151E-1,-2.208645642E-1,-8.792580664E-2
1.861370000E-1,-1.105345637E-1,-2.150665969E-1,-9.026679397E-2
1.961990000E-1,-9.122771025E-2,-2.064115852E-1,-9.044336528E-2
2.062600000E-1,-6.670716405E-2,-1.800589561E-1,-8.642308414E-2
2.163220000E-1,-3.872506320E-2,-1.542816758E-1,-8.672455698E-2
2.263830000E-1,-2.227865718E-2,-1.339900345E-1,-8.062037826E-2
2.364450000E-1,-1.081294939E-2,-1.259456873E-1,-6.816663593E-2
2.465060000E-1,-2.498067217E-3,-1.451076567E-1,-5.584259331E-2
2.565680000E-1,2.035697922E-3,-1.688907593E-1,-5.186675861E-2
2.666331250E-1,5.391147919E-3,-1.838429421E-1,-5.114967376E-2
2.766951250E-1,1.087406371E-2,-1.879596561E-1,-5.491005629E-2
2.867561250E-1,1.935550757E-2,-1.764815152E-1,-5.250399932E-2
2.968181250E-1,3.421701118E-2,-1.616879255E-1,-4.735797271E-2
3.068791250E-1,4.752861708E-2,-1.500501335E-1,-4.890741780E-2
3.169411250E-1,6.603386253E-2,-1.401048154E-1,-5.073408037E-2
3.270021250E-1,6.698352098E-2,-1.293811202E-1,-5.872035399E-2
3.370641250E-1,5.813437328E-2,-1.323494911E-1,-6.491299719E-2
3.471251250E-1,3.635303304E-2,-1.496418864E-1,-6.755472720E-2
3.571861250E-1,8.040970191E-3,-1.638575792E-1,-7.607817650E-2
3.672481250E-1,-4.379205406E-3,-1.690654457E-1,-8.025592566E-2
3.773091250E-1,-1.065787300E-2,-1.619284451E-1,-8.198484778E-2
3.873711250E-1,1.706350595E-3,-1.535394788E-1,-8.199650794E-2
3.974321250E-1,1.109266095E-2,-1.412106454E-1,-7.925691456E-2
4.074941250E-1,1.720494218E-2,-1.346236318E-1,-8.151239902E-2
4.175551250E-1,2.293659747E-2,-9.761341661E-2,-9.077061713E-2
4.276171250E-1,6.643462460E-3,-2.608117880E-3,-9.815134853E-2
4.376781250E-1,-4.272302613E-4,3.774409741E-2,-8.628749847E-2
4.477401250E-1,8.565345779E-3,1.657264531E-1,-7.083307952E-2
4.578011250E-1,3.012043983E-2,3.495356739E-1,-5.109080300E-2
4.678631250E-1,6.624016166E-2,5.265108943E-1,-2.293357067E-2
4.779241250E-1,1.100251898E-1,6.888292432E-1,6.012060679E-3
4.879861250E-1,1.369878501E-1,7.827094793E-1,2.433304489E-2
4.980471250E-1,1.408875138E-1,7.728555202E-1,3.513136134E-2
5.081091250E-1,1.187499091E-1,6.843575835E-1,2.981150150E-2
5.181701250E-1,5.295251682E-2,5.372355580E-1,2.009522542E-2
5.282321250E-1,9.198929183E-4,4.292431772E-1,3.212680342E-3
5.382931250E-1,-9.421892464E-4,4.055402279E-1,-3.605083749E-2
5.483551250E-1,1.430171356E-2,3.880367279E-1,-5.382366478E-2
5.584161250E-1,-6.359889638E-3,3.201775253E-1,-2.553983219E-2
5.684781250E-1,-2.390834317E-2,3.144253492E-1,-2.742021531E-2
5.785391250E-1,-2.077939548E-2,3.145470321E-1,-5.983461440E-2
5.886011250E-1,-2.068399452E-2,2.953490913E-1,-6.091964245E-2
5.986621250E-1,-3.126100451E-2,2.545808852E-1,-7.352704555E-2
6.087241250E-1,-4.676365480E-2,1.951793134E-1,-8.269431442E-2
6.187851250E-1,-6.972516328E-2,1.579669565E-1,-9.766899794E-2
6.288471250E-1,-1.082708687E-1,1.240192428E-1,-1.162068322E-1
6.389081250E-1,-1.719260067E-1,-2.287247032E-2,-1.227403656E-1
6.489701250E-1,-2.887382805E-1,-1.175441518E-1,-9.034764767E-2
6.590311250E-1,-3.760172725E-1,-8.377420157E-2,-1.306535155E-1
6.690931250E-1,-4.395394921E-1,-1.252403557E-1,-1.536110640E-1
6.791541250E-1,-4.893283546E-1,-1.750031263E-1,-1.375527382E-1
6.892151250E-1,-5.355982184E-1,-2.409296036E-1,-1.710287631E-1
6.992771250E-1,-5.896375179E-1,-2.970996499E-1,-2.030548751E-1
7.093381250E-1,-6.211193204E-1,-2.882822454E-1,-2.359568626E-1
7.194001250E-1,-6.182547808E-1,-2.537972331E-1,-2.786835730E-1
7.294611250E-1,-6.130138040E-1,-1.869805902E-1,-3.214858472E-1
7.395231250E-1,-6.135480404E-1,-5.160624534E-2,-3.506842256E-1
7.495841250E-1,-5.933492184E-1,1.601168215E-1,-3.899893165E-1
7.596461250E-1,-5.767512918E-1,4.365686774E-1,-4.479061365E-1
7.697071250E-1,-5.710074902E-1,7.184700370E-1,-5.317495465E-1
7.797691250E-1,-6.023065448E-1,9.071147442E-1,-5.842519403E-1
7.898301250E-1,-6.448129416E-1,1.067964911E0,-6.228274107E-1
7.998921250E-1,-6.702450514E-1,1.172870040E0,-6.896303892E-1
8.099531250E-1,-6.990889907E-1,1.104569316E0,-6.833063960E-1
8.200151250E-1,-7.076265216E-1,8.962392211E-1,-6.318498254E-1
8.300761250E-1,-7.041949034E-1,6.304082274E-1,-5.998798013E-1
8.401381250E-1,-6.979170442E-1,3.765572608E-1,-5.868769288E-1
8.501991250E-1,-6.532000303E-1,2.181635648E-1,-5.752446651E-1
8.602611250E-1,-6.266981363E-1,1.546791345E-1,-5.426717997E-1
8.703221250E-1,-6.020342708E-1,1.667882204E-1,-5.121443272E-1
8.803841250E-1,-5.735387206E-1,2.444063127E-1,-5.009007454E-1
8.904451250E-1,-5.560325980E-1,3.300009966E-1,-4.724372327E-1
9.005071250E-1,-5.482372046E-1,3.291812539E-1,-4.080342650E-1
9.105681250E-1,-5.499483943E-1,3.079008758E-1,-3.782031238E-1
9.206291250E-1,-5.548733473E-1,1.897486746E-1,-3.346787989E-1
9.306911250E-1,-5.738117695E-1,1.956940256E-2,-2.883290052E-1
9.407521250E-1,-5.704700351E-1,-1.060183495E-1,-2.596448958E-1
9.508141250E-1,-5.454037786E-1,-1.659804732E-1,-2.428640723E-1
9.608751250E-1,-5.171833038E-1,-2.351574153E-1,-2.147152573E-1
9.709371250E-1,-5.019984245E-1,-1.597408354E-1,-2.020301819E-1
9.809981250E-1,-4.637115002E-1,-5.907760188E-2,-2.024781257E-1
9.910601250E-1,-4.211080372E-1,1.471775025E-2,-1.947155893E-1
