"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.030000000E-3,6.657055020E-4,6.192961514E-2,-8.011387110E-2
1.509200002E-2,-7.344658345E-2,4.036128312E-2,-3.739347035E-1
2.515300002E-2,-1.193451798E-1,1.454313630E-1,-6.439059126E-1
3.521500001E-2,-1.885215417E-1,2.073677024E-1,-7.771610337E-1
4.527600002E-2,-2.601633820E-1,2.091274220E-1,-8.578988028E-1
5.533800001E-2,-2.637310606E-1,1.568632543E-1,-7.781205618E-1
6.539900001E-2,-2.936103326E-1,9.313328147E-2,-6.719655311E-1
7.546100000E-2,-2.840469190E-1,8.437210590E-2,-6.955847740E-1
8.552200001E-2,-2.941555855E-1,7.470928967E-2,-7.546831673E-1
9.558400002E-2,-2.984825251E-1,7.730837703E-2,-7.516981637E-1
1.056450000E-1,-2.582440335E-1,8.731413245E-2,-6.545993006E-1
1.157070000E-1,-2.306513152E-1,1.083988997E-1,-4.786741233E-1
1.257680000E-1,-2.110070094E-1,1.295316142E-1,-2.141612899E-1
1.358300000E-1,-1.453942332E-1,1.070958477E-1,1.982089162E-2
1.458910000E-1,-6.875185400E-2,1.160476425E-1,6.565019846E-2
1.559530000E-1,-3.033038467E-2,1.808286524E-1,1.282411337E-1
1.660140000E-1,-4.508904934E-2,1.838434768E-1,2.435704458E-1
1.760760000E-1,-2.205043495E-2,1.490157062E-1,2.137847292E-1
1.861370000E-1,-1.868448526E-2,1.484201673E-1,1.073022544E-1
1.961990000E-1,-4.801850438E-2,1.521039131E-1,-5.738457441E-3
2.062600000E-1,-7.077966839E-2,1.320985419E-1,-7.027417660E-2
2.163220000E-1,-1.214805830E-1,1.156088090E-1,-1.325370830E-1
2.263830000E-1,-1.512089968E-1,1.379469270E-1,-1.740160614E-1
2.364450000E-1,-1.820922357E-1,1.125817055E-1,-1.318114436E-1
2.465060000E-1,-1.920763564E-1,9.227724910E-2,-4.348457336E-2
2.565680000E-1,-2.012585315E-1,7.478705764E-2,8.170314431E-3
2.666331250E-1,-2.032904390E-1,5.107016623E-2,7.057004571E-3
2.766951250E-1,-2.052805388E-1,6.097827315E-2,-3.004884124E-2
2.867561250E-1,-1.873582381E-1,6.753358662E-2,-3.652170897E-2
